date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:43:40	153323/153323	---M--	200	added ('OK')	image/jpeg	etag:%22ec43a1bdd727490ac6ded48e7ec3aded%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/blog/blog-2.jpg	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/blog/blog-2.jpg	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index-2.html)
23:43:56	82645/82645	---M--	200	added ('OK')	image/jpeg	etag:%22aa244c55cc216c16edec36d0e37644c6%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/avatar/avatar-17.jpg	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/avatar/avatar-17.jpg	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index-3.html)
23:44:08	150087/150087	---M--	200	added ('OK')	image/jpeg	etag:%22f43f6081b26361710f5c331ec18b98da%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/avatar/avatar-16.jpg	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/avatar/avatar-16.jpg	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index-3.html)
23:44:08	389323/389323	---M--	200	added ('OK')	image/jpeg	etag:%22609b6df06a47381aedb7e36e13175f39%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/testimonial-property.jpg	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/testimonial-property.jpg	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index-2.html)
23:44:09	191818/191818	---M--	200	added ('OK')	image/jpeg	etag:%2229353d416c5dd43093995c1ec3c47e16%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/property-9.jpg	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/property-9.jpg	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index-3.html)
23:44:26	70266/70266	---M--	200	added ('OK')	image/png	etag:%2228bbeec9155e16c7828a5c4ffc71a87f%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/avatar/avatar-14.png	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/avatar/avatar-14.png	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index-4.html)
23:44:38	56793/56793	---M--	200	added ('OK')	image/jpeg	etag:%22ba1d7bce8d56186d4090e246610ce416%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/recent-property.jpg	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/recent-property.jpg	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index-5.html)
23:44:39	267487/267487	---M--	200	added ('OK')	image/jpeg	etag:%22a8cbd542db6c14b0514791289a3295b6%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/property-8.jpg	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/property-8.jpg	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index-4.html)
23:44:45	32492/32492	---M--	200	added ('OK')	image/jpeg	etag:%223c1b2a456c34f5f248f6344ee73c4f59%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/recent-property-2.jpg	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/recent-property-2.jpg	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index-5.html)
23:44:50	41006/41006	---M--	200	added ('OK')	image/jpeg	etag:%22e3a138ecd2108ecf2e407b06adca1ca5%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/recent-property-3.jpg	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/recent-property-3.jpg	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index-5.html)
23:44:57	58278/58278	---M--	200	added ('OK')	image/jpeg	etag:%22206ca67297f1838597ffd8683145a794%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/recent-property-4.jpg	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/recent-property-4.jpg	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index-5.html)
